,STATE,COUNT,NAMEL,ALAND,AWATE,dc_id,P0130,H0100,P0030,P01202,H0180,H0040,P0040,H0020,P008004,P008005,P01200,P01204,c_0_5_1,c_0_5_3,c_1_5_1_2,c_1_5_1__,c_1_5_3_3,c_1_5_3_4,c_1_1_25_3,c_1_1_25_4,c_1_1_25_5,c_1_2_125,c_1_2_12_,c_1_3_3,c_1_3_4,c_1_3_5,Resilnc,FaildRt,LandUse,Community
0,12,57,Census Tract 32,818242,0,1,22.7,19.88888889,0,9.888888889,0.555555556,5.444444444,7.111111111,9.777777778,10.66666667,0,2,1.777777778,1.777777778,2.333333333,3.111111111,2.222222222,2.111111111,2.222222222,1.888888889,2.333333333,2.555555556,1.888888889,2.444444444,2.333333333,2,2.555555556,0.990067153,0,Industrial,1
1,12,57,Census Tract 24,2369303,70256,2,13.56666667,142.1666667,3,75,1.333333333,41.16666667,62,69.66666667,44,1.333333333,15.33333333,14.66666667,1.333333333,1.333333333,2.166666667,1.333333333,1.833333333,2.5,1.5,1.666666667,1.166666667,1.833333333,2,1.666666667,1.666666667,2.5,1,0,Industrial,1
2,12,57,Census Tract 60,3189965,23814,3,42.725,63.96428571,1.392857143,32.78571429,0.892857143,4.464285714,4.357142857,26.75,0.678571429,0.178571429,2.214285714,10.03571429,1.392857143,1.392857143,2.392857143,1.964285714,1.75,2.571428571,1.785714286,2.142857143,2.392857143,1.642857143,2.714285714,1.714285714,2.5,2.821428571,0.098827893,0.207983193,Industrial,1
3,12,57,Census Tract 20,1296416,10339,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,3,3,2,3,2,4,2,4,2,0.570550577,0,Industrial,1
4,12,57,Census Tract 135.01,6933721,1748956,5,24.5,36,0,18,0,8,7,11,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.892997037,0,Industrial,1
5,12,57,Census Tract 135.03,2598837,10974,6,9,20,0.25,11,0.5,1,9.75,6.5,2.75,0.25,2.25,1.25,2,1.5,2.25,2.25,2.25,3,2,2.25,2.5,2,3.75,2.25,3,2.75,0.848222518,0,Industrial,1
6,12,57,Census Tract 104.02,10356347,658197,7,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1,1.5,1,1.25,1.25,1.25,1.5,1.5,1.25,2,1,1.25,1.25,0.948232565,0,Industrial,1
7,12,57,Census Tract 33,790736,0,8,37.83333333,27.33333333,0,11.66666667,1,4.666666667,11.66666667,11.33333333,13,0,3.333333333,2.666666667,1.666666667,2,2.333333333,2,2,3,1.666666667,3,2,2.333333333,2.666666667,1.666666667,3,2,0.862079863,0,Industrial,1
8,12,57,Census Tract 51.02,695170,524042,9,20.35,140.8333333,5,71.16666667,2.333333333,24.83333333,12.33333333,76.83333333,1.833333333,1.166666667,4.833333333,17.33333333,1.666666667,2,2.833333333,2.5,2.5,2.833333333,2.166666667,2.5,2.666666667,2.166666667,3.666666667,2.333333333,2.833333333,3,0.045259926,1,Industrial,1
9,12,57,Census Tract 62,1654261,0,10,40.92857143,28.42857143,0.285714286,16.28571429,1,2,4.714285714,12.71428571,0,0.857142857,1.857142857,2.285714286,1.571428571,1.857142857,3,2,2.142857143,2.857142857,2,2.571428571,2,2,3.857142857,1.571428571,2.857142857,3.571428571,0.053604726,0,Residential,1
