,OBJECTID,CAPACITY,NUM_LANES,Waterlevel,Initially-failed,Cascaded-failed
0,17260,10000,1,0,0,0
1,3565,10000,1,0,0,0
2,3564,10000,1,0,0,0
3,5277,10000,1,0,0,0
4,17259,10000,1,0,0,0
5,3088,1725,2,0,0,1
6,12792,2055.6,4,0,0,0
7,17767,814,1,0,0,0
8,14417,1725,2,0,0,0
9,12647,2055.6,5,0,0,0
10,4567,824.67,2,0,0,0
11,4247,814,1,0,0,0
12,7752,810.75,1,0,0,0
13,7744,948,1,0,0,0
14,9930,824.67,3,0,0,0
15,17709,601.65,2,0,0,0
16,15100,824.67,3,4.57283,1,1
17,1452,601.65,2,0,0,0
18,10147,920.47,3,0,0,0
19,6862,1293.75,2,0,0,0
20,1369,795.9,2,0,0,0
21,10328,824.67,2,0,0,0
22,11696,824.67,3,0,0,0
23,11089,714.55,4,0,0,0
24,13046,810.75,1,0,0,0
25,2269,810.75,1,0,0,0
26,12630,424,1,0,0,0
27,14987,2070,2,0,0,0
28,8471,556.5,1,0,0,0
29,16449,824.67,2,0,0,0
30,13054,445.2,1,0,0,0
31,12626,592.2,1,0,0,0
32,16426,592.2,1,0,0,0
33,3391,824.67,2,0,0,0
34,13058,810.75,1,0,0,0
35,7058,824.67,3,0,0,0
36,15827,592.2,1,0,0,0
37,4475,920.47,2,0,0,0
38,7056,1445,2,0,0,0
39,15435,2353.56,3,0,0,0
40,15498,810.75,1,0,0,0
41,4317,810.75,1,0,0,0
42,9949,779.07,3,0,0,0
43,12316,1806.25,2,0,0,0
44,10554,948,1,0,0,0
45,9960,445.2,1,0,0,0
46,7891,810.75,1,0,0,0
47,7889,2060.4,3,0,0,0
48,11704,2060.4,3,0,0,0
49,445,824.67,2,0,0,0
50,15051,824.67,2,0,0,0
51,2327,810.75,1,0,0,0
52,7808,824.67,2,0,0,0
53,2250,948,1,0,0,0
54,4600,424,1,0,0,0
55,13283,424,1,0,0,0
56,15041,651.75,2,0,0,0
57,13282,651.75,2,0,0,0
58,10451,1671.52,2,0,0,0
59,10687,810.75,1,0,0,0
60,12654,1655.5,1,0,0,0
61,1983,1671.52,2,0,0,0
62,10336,810.75,1,0,0,0
63,16129,726.8,1,0,0,0
64,5938,915,2,0,0,0
65,600,828,2,0,0,0
66,1612,810.75,1,0,0,1
67,14831,814,1,0,0,1
68,1612,810.75,1,0,0,1
69,1611,810.75,1,0,0,1
70,14833,810.75,1,0,0,1
71,14832,810.75,1,0,0,1
72,1611,810.75,1,0,0,1
73,14833,810.75,1,0,0,1
74,1614,592.2,1,0,0,1
75,14832,810.75,1,0,0,1
76,1615,810.75,1,0,0,1
77,14831,814,1,0,0,1
78,13333,814,1,0,0,1
79,1623,824.67,2,5.32296,1,0
80,13330,824.67,2,5.32296,1,1
81,1623,824.67,2,5.32296,1,0
82,1620,824.67,2,5.32296,1,0
83,1618,592.2,1,5.32296,1,1
84,1614,592.2,1,0,0,1
85,13099,592.2,1,0,0,1
86,1620,824.67,2,5.32296,1,0
87,8138,592.2,1,5.32296,1,0
88,8138,592.2,1,5.32296,1,0
89,1621,592.2,1,5.32296,1,0
90,13333,814,1,0,0,1
91,3295,814,1,0,0,1
92,1615,810.75,1,0,0,1
93,13330,824.67,2,5.32296,1,1
94,1613,824.67,2,0,0,1
95,1617,814,1,0,0,1
96,13099,592.2,1,0,0,1
97,9202,592.2,1,0,0,1
98,1613,824.67,2,0,0,1
99,8181,824.67,2,0,0,1
100,1618,592.2,1,5.32296,1,1
101,1622,592.2,1,5.32296,1,1
102,3295,814,1,0,0,1
103,13100,814,1,0,0,1
104,1617,814,1,0,0,1
105,11540,814,1,5.32296,1,1
106,1622,592.2,1,5.32296,1,1
107,11537,592.2,1,5.32296,1,1
108,8181,824.67,2,0,0,1
109,11536,824.67,2,0,0,1
110,9202,592.2,1,0,0,1
111,13101,592.2,1,0,0,0
112,13100,814,1,0,0,1
113,13325,814,1,0,0,1
114,13325,814,1,0,0,1
115,9201,814,1,0,0,1
116,11540,814,1,5.32296,1,1
117,11542,814,1,5.32296,1,1
118,13101,592.2,1,0,0,0
119,13326,592.2,1,0,0,1
120,11537,592.2,1,5.32296,1,1
121,11542,814,1,5.32296,1,1
122,2980,810.75,1,5.38192,1,1
123,11541,592.2,1,0,0,1
124,11536,824.67,2,0,0,1
125,11539,824.67,2,0,0,1
126,3088,1725,2,0,0,1
127,16879,824.67,2,0,0,1
128,16879,824.67,2,0,0,1
129,16871,824.67,2,0,0,1
130,9201,814,1,0,0,1
131,16871,824.67,2,0,0,1
132,11664,920.47,2,0,0,1
133,16872,948,1,0,0,1
134,2980,810.75,1,5.38192,1,1
135,15969,810.75,1,5.38192,1,1
136,11664,920.47,2,0,0,1
137,11011,920.47,2,0,0,1
138,13326,592.2,1,0,0,1
139,11012,592.2,1,0,0,1
140,15968,592.2,1,5.38192,1,1
141,1621,592.2,1,5.32296,1,1
142,11539,824.67,2,0,0,1
143,14830,824.67,2,0,0,1
144,11011,920.47,2,0,0,1
145,739,920.47,2,0,0,1
146,15969,810.75,1,5.38192,1,1
147,11543,810.75,1,5.38192,1,1
148,11012,592.2,1,0,0,1
149,739,920.47,2,0,0,1
150,13328,920.47,2,0,0,1
151,904,601.65,2,0,0,1
152,11541,592.2,1,0,0,1
153,8182,592.2,1,0,0,1
154,13328,920.47,2,0,0,1
155,11663,920.47,2,0,0,1
156,16872,948,1,0,0,1
157,11659,948,1,0,0,1
158,15968,592.2,1,5.38192,1,1
159,11543,810.75,1,5.38192,1,1
160,2977,814,1,5.38192,1,1
161,15161,833.8,1,0,0,1
162,8131,1735.06,2,0,0,1
163,904,601.65,2,0,0,1
164,2164,601.65,2,0,0,1
165,11663,920.47,2,0,0,1
166,15162,920.47,2,0,0,1
167,15162,920.47,2,0,0,1
168,160,920.47,2,0,0,1
169,15163,833.8,1,0,0,1
170,160,920.47,2,0,0,1
171,16507,920.47,2,0,0,1
172,11659,948,1,0,0,1
173,11660,948,1,0,0,1
174,14830,824.67,2,0,0,1
175,16507,920.47,2,0,0,1
176,3290,824.67,2,0,0,1
177,8106,920.47,2,0,0,1
178,8182,592.2,1,0,0,1
179,11538,592.2,1,0,0,1
180,2164,601.65,2,0,0,1
181,16882,601.65,2,0,0,1
182,3290,824.67,2,0,0,1
183,4486,824.67,2,0,0,1
184,8106,920.47,2,0,0,1
185,8130,1445,1,0,0,1
186,748,920.47,2,0,0,1
187,8132,1735.06,2,0,0,1
188,11660,948,1,0,0,1
189,7911,948,1,0,0,1
190,16882,601.65,2,0,0,1
191,11662,601.65,2,0,0,1
192,8325,1735.06,2,0,0,1
193,4135,1445,1,0,0,1
194,4486,824.67,2,0,0,1
195,3282,824.67,2,5.42075,1,1
196,2977,814,1,5.38192,1,1
197,2978,814,1,5.38192,1,1
198,11538,592.2,1,0,0,1
199,3282,824.67,2,5.42075,1,1
200,3292,824.67,2,5.42075,1,1
201,3286,592.2,1,5.42075,1,1
202,3292,824.67,2,5.42075,1,1
203,7685,824.67,2,5.38192,1,1
204,11662,601.65,2,0,0,1
205,738,601.65,2,0,0,1
206,7685,824.67,2,5.38192,1,1
207,3283,824.67,2,5.38192,1,1
208,2978,814,1,5.38192,1,1
209,3283,824.67,2,5.38192,1,1
210,3288,824.67,2,5.42075,1,1
211,16508,1735.06,2,5.42075,1,1
212,748,920.47,2,0,0,1
213,746,920.47,2,0,0,1
214,3286,592.2,1,5.42075,1,1
215,3284,592.2,1,5.42075,1,1
216,7911,948,1,0,0,1
217,915,810.75,1,0,0,1
218,11646,948,1,0,0,1
219,915,810.75,1,0,0,1
220,914,810.75,1,0,0,1
221,746,920.47,2,0,0,1
222,740,920.47,2,0,0,1
223,914,810.75,1,0,0,1
224,16880,810.75,1,0,0,1
225,11646,948,1,0,0,1
226,9708,948,1,0,0,1
227,4075,828,2,0,0,1
228,738,601.65,2,0,0,1
229,16880,810.75,1,0,0,1
230,743,810.75,1,0,0,1
231,11647,570.15,2,0,0,1
232,743,810.75,1,0,0,1
233,744,810.75,1,0,0,1
234,3288,824.67,2,5.42075,1,1
235,15245,824.67,2,5.42075,1,1
236,740,920.47,2,0,0,1
237,747,920.47,2,0,0,1
238,744,810.75,1,0,0,1
239,920,810.75,1,0,0,1
240,11647,570.15,2,0,0,1
241,11656,570.15,2,0,0,1
242,3284,592.2,1,5.42075,1,1
243,3285,592.2,1,5.42075,1,1
244,11656,570.15,2,0,0,1
245,745,828,2,0,0,1
