,dc_id,node1,node2,Waterlevel,Initially-failed,Cascaded-failed
0,P-1,J-103410,A-25129,0,0,0
1,P-2,A-25129,J-122578,0,0,0
2,P-3,J-106630,A-64793,0,0,0
3,P-4,A-64793,J-46942,0,0,0
4,P-5,J-110505,A-65604,0,0,0
5,P-6,A-65604,J-110839,0,0,0
6,P-7,J-114308,A-65009,5.96075,1,1
7,P-8,A-65009,J-102423,5.96075,1,1
8,P-9,J-47718,A-64104,0,0,0
9,P-10,A-64104,J-83368,0,0,0
10,P-11,J-41881,A-66701,0,0,1
11,P-12,A-66701,J-55466,0,0,1
12,P-13,J-59560,A-39663,0,0,0
13,P-14,A-39663,J-88803,0,0,0
14,P-15,J-94654,A-65706,0,0,0
15,P-16,A-65706,J-82165,0,0,0
16,P-17,J-85488,A-66554,0,0,0
17,P-18,A-66554,J-116643,0,0,0
18,P-19,J-103535,A-66141,0,0,0
19,P-20,A-66141,J-48907,0,0,0
20,P-21,J-75921,A-9205,0,0,0
21,P-22,A-9205,J-48702,0,0,0
22,P-23,J-110665,A-66085,0,0,0
23,P-24,A-66085,J-106630,0,0,0
24,P-25,J-93533,A-65946,0,0,0
25,P-26,A-65946,J-108773,0,0,0
26,P-27,J-28062,A-18664,0,0,0
27,P-28,A-18664,J-119757,0,0,0
28,P-29,J-72274,A-17684,0,0,0
29,P-30,A-17684,J-49245,0,0,0
30,P-31,J-87654,A-60779,0,0,1
31,P-32,A-60779,J-104000,0,0,1
32,P-33,J-122578,A-60781,0,0,0
33,P-34,A-60781,J-106856,0,0,0
34,P-35,J-90486,A-30747,0,0,0
35,P-36,A-30747,J-102560,0,0,0
36,P-37,J-97560,A-60756,0,0,1
37,P-38,A-60756,J-45478,0,0,1
38,P-39,J-118943,A-60601,0,0,0
39,P-40,A-60601,J-54603,0,0,0
40,P-41,J-41431,A-60638,0,0,0
41,P-42,A-60638,J-28041,0,0,0
42,P-43,J-104569,A-60749,0,0,0
43,P-44,A-60749,J-124065,0,0,0
44,P-45,J-91027,A-30231,0,0,0
45,P-46,A-30231,J-117382,0,0,0
46,P-47,J-107022,A-63569,0,0,0
47,P-48,A-63569,J-99433,0,0,0
48,P-49,J-112062,A-63929,0,0,1
49,P-50,A-63929,J-47516,0,0,1
50,P-51,J-81734,A-66461,0,0,0
51,P-52,A-66461,J-115040,0,0,0
52,P-53,J-47791,A-66590,5.38192,1,1
53,P-54,A-66590,J-106389,5.32296,1,1
54,P-55,J-66628,A-61295,0,0,0
55,P-56,A-61295,J-71612,0,0,0
56,P-57,J-92112,A-61364,0,0,0
57,P-58,A-61364,J-71962,0,0,0
58,P-59,J-102209,A-61757,0,0,1
59,P-60,A-61757,J-33691,0,0,1
60,P-61,J-119349,A-66156,0,0,0
61,P-62,A-66156,J-36793,0,0,0
62,P-63,J-93182,A1875097,0,0,1
63,P-64,A1875097,J-88148,0,0,1
64,P-65,J-50311,A-66479,0,0,0
65,P-66,A-66479,J-99576,0,0,0
66,P-67,J-107321,A-66478,0,0,0
67,P-68,A-66478,J-51813,0,0,0
68,P-69,J-97737,A1804203,0,0,0
69,P-70,A1804203,J-97738,0,0,0
70,P-71,J-102781,A-66500,6.02515,1,1
71,P-72,A-66500,J-102081,6.02515,1,1
72,P-73,J-91383,A-66359,0,0,1
73,P-74,A-66359,J-103541,0,0,1
74,P-75,J-86639,A1907390,0,0,0
75,P-76,A1907390,J-81372,0,0,0
76,P-77,J-68668,A1772239,0,0,0
77,P-78,A1772239,J-110995,0,0,0
78,P-79,J-33164,A1777182,0,0,1
79,P-80,A1777182,J-111238,0,0,1
80,P-81,J-79129,A1866706,0,0,0
81,P-82,A1866706,J-42787,0,0,0
82,P-83,J-47552,A1825950,0,0,0
83,P-84,A1825950,J-49748,0,0,0
84,P-85,J-83537,A-66430,0,0,0
85,P-86,A-66430,J-71962,0,0,0
86,P-87,J-70380,A-66426,0,0,1
87,P-88,A-66426,J-28259,0,0,1
88,P-89,J-67209,A1945974,0,0,0
89,P-90,A1945974,J-84365,0,0,0
90,P-91,J-47823,A-66470,6.02515,1,1
91,P-92,A-66470,J-84430,6.02515,1,1
92,P-93,J-69506,A-66202,0,0,1
93,P-94,A-66202,J-104962,0,0,1
94,P-95,J-102209,A-66218,0,0,1
95,P-96,A-66218,J-66243,0,0,1
96,P-97,J-74838,A-66227,0,0,0
97,P-98,A-66227,J-443,0,0,0
98,P-99,J-93089,A-66542,0,0,0
99,P-100,A-66542,J-99339,0,0,0
100,P-101,J-443,A-9076,0,0,0
